Comment,Designator,Footprint,LCSC
1K,"R1,R2,R3,R4",RESC1005X40N,C11702
GL5516,R10,C125629,C125626
GREEN,D1,LEDC1005X55N,C131223
HT75xx-1-SOT89,U1,SOT-89-3,C14289
10uF,"C1,C2,C3,C4,C5,C6,C8",CAPC1608X100N,C15195
100nF,C7,CAPC1005X55N,C1590
FS8205A,Q1,SOP65P640X120-8N,C16052
TP4056,J10,SOIC127P600X175-9N,C16581
100,R5,RESC1608X55N,C22775
USB_B_Micro,J6,USB_Micro-B_GCT_USB3076-30-A,C404969
DW01A-G,IC1,SOT95P280X135-6N,C61503
RED,D2,LEDC1005X55N,C71911
5K,"R6,R7,R8,R9",RESC2012X60N,C78980
"LM75AD,118",IC2,SOIC127P600X175-8N,C7963
M24C16-RMN6TP,U4,SOIC127P600X175-8N,C79946
CH340C,U3,SOIC127P600X180-16N,C84681
