Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CAPC1608X100N,159.75,-74.14,0.0,top
C2,10uF,CAPC1608X100N,177.673,-76.962,0.0,top
C3,10uF,CAPC1608X100N,160.68,-84.67,180.0,top
C4,10uF,CAPC1608X100N,178.32,-68.88,90.0,top
C5,10uF,CAPC1608X100N,139.47,-71.31,180.0,top
C6,10nF,CAPC1005X55N,168.44,-127.43,90.0,top
C7,100nF,CAPC1005X55N,148.717,-121.539,90.0,top
C8,22uF,ANTC1608X90N,153.289,-121.031,-90.0,top
C9,100nF,CAPC1005X55N,151.257,-120.777,-90.0,top
C10,10nF,CAPC1005X55N,90.38,-116.1,-90.0,top
D1,GREEN,LEDC1005X55N,173.6,-61.64,180.0,top
D2,RED,LEDC1005X55N,168.98,-64.01,180.0,top
D3,RED,LEDC1005X55N,166.63,-118.47,-90.0,top
D4,RED,LEDC1005X55N,166.97,-112.27,90.0,top
IC1,DW01A-G,SOT95P280X135-6N,134.22,-76.84,90.0,top
IC2,TMP102AIDRLR,SOTFL50P160X60-6N,161.0154,-128.246736,0.0,top
J1,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,168.133,-100.863,-90.0,top
J2,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,168.006,-89.306,-90.0,top
J3,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,168.275,-149.733,-90.0,top
J4,Conn_01x10_Female,PinHeader_1x10_P2.54mm_Vertical,103.595,-83.81,90.0,top
J5,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,168.26,-139.344,-90.0,top
J6,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,177.63,-121.49,90.0,top
J7,TP4056,SOIC127P600X175-9N,173.482,-70.739,90.0,top
J8,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,181.229,-92.969,180.0,top
J9,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,149.86,-73.914,90.0,top
J12,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,180.47,-136.66,0.0,top
J14,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,176.33,-112.085,180.0,top
J15,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,174.39,-101.55,180.0,top
Q1,FS8205A,SOP65P640X120-8N,135.76,-82.02,180.0,top
R1,1K,RESC1005X40N,174.73,-64.7,-90.0,top
R2,1K,RESC1005X40N,172.72,-64.643,-90.0,top
R3,1K,RESC1005X40N,173.101,-76.708,180.0,top
R4,1K,RESC1005X40N,138.73,-78.45,90.0,top
R5,100,RESC1608X55N,134.96,-72.7,0.0,top
R6,5K,RESC2012X60N,165.33,-124.38,-90.0,top
R7,5K,RESC2012X60N,154.94,-127.0,-90.0,top
R8,5K,RESC2012X60N,160.5074,-122.87,-90.0,top
R9,5K,RESC2012X60N,151.257,-83.566,-90.0,top
R10,GL5516,C125629,144.423,-82.169,0.0,top
R11,1K,RESC1005X40N,171.56,-118.49,-90.0,top
R12,1K,RESC1005X40N,171.27,-112.19,90.0,top
U1,HT7533-1,SOT-89-3,162.99,-79.43,0.0,top
U2,1024,1024,120.269,-61.214,180.0,top
U3,FT232RL-REEL,SOP65P780X200-28N,142.748,-119.38,0.0,top
U4,M24C16-RMN6TP,SOIC127P600X175-8N,97.409,-118.364,90.0,top
