Source:,sensing.kicad_sch,,,,,,,,,
Date:,10-03-22 11:07,,,,,,,,,
Tool:,Eeschema (6.0.2),,,,,,,,,
Generator:,bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,9,,,,,,,,,
,,,,,,,,,,
Individual Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,,,,
,1,C4,10nF,pspice:CAP,C0402,https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf,,,,
,1,R1,5K,Device:R,R0805,https://datasheet.lcsc.com/lcsc/1810170720_UNI-ROYAL-Uniroyal-Elec-TC0525B5001T5E_C78980.pdf ,,,,
,1,R2,5K,Device:R,R0805,https://datasheet.lcsc.com/lcsc/1810170720_UNI-ROYAL-Uniroyal-Elec-TC0525B5001T5E_C78980.pdf ,,,,
,1,R3,5K,Device:R,R0805,https://datasheet.lcsc.com/lcsc/1810170720_UNI-ROYAL-Uniroyal-Elec-TC0525B5001T5E_C78980.pdf ,,,,
,1,R7,GL5516,Sensor_Optical:LDR03,RES-TH_L5.1-W4.3-P3.40-D0.5,https://datasheet.lcsc.com/lcsc/1809042020_Senba-Sensing-Tech-GL5516_C125626.pdf,,,,
,1,R8,10K,Device:R,R0603,https://datasheet.lcsc.com/lcsc/1811081617_YAGEO-RC0603JR-0710KL_C99198.pdf ,,,,
,1,U1,TMP102AIDRLR,Sensor_Temperature:TMP1075D,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,https://datasheet.lcsc.com/lcsc/1810161612_Texas-Instruments-TMP102AIDRLR_C99269.pdf,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Manufacturer,Supplier,Supplier Part,Price
1,1,C4,10nF,pspice:CAP,C0402,https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf,SAMSUNG,LCSC,C15195,0.001
2,3,"R1,R2,R3",5K,Device:R,R0805,https://datasheet.lcsc.com/lcsc/1810170720_UNI-ROYAL-Uniroyal-Elec-TC0525B5001T5E_C78980.pdf ,UniOhm,LCSC,C78980,0.162
3,1,R7,GL5516,Sensor_Optical:LDR03,RES-TH_L5.1-W4.3-P3.40-D0.5,https://datasheet.lcsc.com/lcsc/1809042020_Senba-Sensing-Tech-GL5516_C125626.pdf,Senba,LCSC,C125626,0.048
4,1,R8,10K,Device:R,R0603,https://datasheet.lcsc.com/lcsc/1811081617_YAGEO-RC0603JR-0710KL_C99198.pdf ,YAGEO,LCSC,C99198,0.001
5,1,U1,TMP102AIDRLR,Sensor_Temperature:TMP1075D,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,https://datasheet.lcsc.com/lcsc/1810161612_Texas-Instruments-TMP102AIDRLR_C99269.pdf,Texas Instruments,LCSC,C99269,0.879
,,,,,,,,,Total: ,1.091
